#,场景,子场景,数据来源,是否多轮,组别,测试数据,参考答案
200,催收多轮对话场景,无,FAQ相似问,多轮,30,Kevin,"Hi Mr. Kevin, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
201,催收多轮对话场景,无,FAQ相似问,多轮,30,I don't think I owe anything.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
202,催收多轮对话场景,无,FAQ相似问,多轮,30,I don't think I owe anything.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
203,催收多轮对话场景,无,FAQ相似问,多轮,30,I don't think I owe anything.,"We understand it’s stressful. Still, when can you complete the payment?"
204,催收多轮对话场景,无,FAQ相似问,多轮,30,I'm waiting for my salary.,Our records confirm the balance. Can you check and update us by today?
205,催收多轮对话场景,无,FAQ相似问,多轮,30,I'm waiting for my salary.,Waiting until next month is too long. Could you try resolving it this week?
206,催收多轮对话场景,无,FAQ相似问,多轮,31,Paul,"Hi Mr. Paul, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
207,催收多轮对话场景,无,FAQ相似问,多轮,31,I'll try asking my family.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
208,催收多轮对话场景,无,FAQ相似问,多轮,31,I'll try asking my family.,We’re required to follow up. Could you tell us your plan to settle this?
209,催收多轮对话场景,无,FAQ相似问,多轮,31,I'll try asking my family.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
210,催收多轮对话场景,无,FAQ相似问,多轮,31,Can I pay part of it?,Waiting until next month is too long. Could you try resolving it this week?
211,催收多轮对话场景,无,FAQ相似问,多轮,31,I'm going to complain to OJK.,Our records confirm the balance. Can you check and update us by today?
212,催收多轮对话场景,无,FAQ相似问,多轮,31,I'm waiting for my salary.,That’s a good step. Can you confirm if you’ll pay within a few days?
213,催收多轮对话场景,无,FAQ相似问,多轮,31,Why is the amount so high?,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
214,催收多轮对话场景,无,FAQ相似问,多轮,31,I already paid it.,That’s a good step. Can you confirm if you’ll pay within a few days?
215,催收多轮对话场景,无,FAQ相似问,多轮,32,Harry,"Hi Mr. Harry, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
216,催收多轮对话场景,无,FAQ相似问,多轮,32,I don't think I owe anything.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
217,催收多轮对话场景,无,FAQ相似问,多轮,32,Stop bothering me.,Waiting until next month is too long. Could you try resolving it this week?
218,催收多轮对话场景,无,FAQ相似问,多轮,32,I'm waiting for my salary.,That’s a good step. Can you confirm if you’ll pay within a few days?
219,催收多轮对话场景,无,FAQ相似问,多轮,32,Why is the amount so high?,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
220,催收多轮对话场景,无,FAQ相似问,多轮,32,I'm very stressed about this.,That’s a good step. Can you confirm if you’ll pay within a few days?
221,催收多轮对话场景,无,FAQ相似问,多轮,33,Jim,"Hi Mr. Jim, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
222,催收多轮对话场景,无,FAQ相似问,多轮,33,Can I pay part of it?,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
223,催收多轮对话场景,无,FAQ相似问,多轮,33,Can I pay part of it?,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
224,催收多轮对话场景,无,FAQ相似问,多轮,33,I don't have money now.,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
225,催收多轮对话场景,无,FAQ相似问,多轮,33,Why is the amount so high?,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
226,催收多轮对话场景,无,FAQ相似问,多轮,33,I don't have money now.,That’s a good step. Can you confirm if you’ll pay within a few days?
227,催收多轮对话场景,无,FAQ相似问,多轮,33,Maybe I'll pay next month.,When exactly is your salary due? It will help us avoid escalation.
228,催收多轮对话场景,无,FAQ相似问,多轮,33,I'm waiting for my salary.,"We understand it’s stressful. Still, when can you complete the payment?"
229,催收多轮对话场景,无,FAQ相似问,多轮,34,Bob,"Hi Mr. Bob, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
230,催收多轮对话场景,无,FAQ相似问,多轮,34,Maybe I'll pay next month.,When exactly is your salary due? It will help us avoid escalation.
231,催收多轮对话场景,无,FAQ相似问,多轮,34,I'm going to complain to OJK.,Waiting until next month is too long. Could you try resolving it this week?
232,催收多轮对话场景,无,FAQ相似问,多轮,34,I already paid it.,Our records confirm the balance. Can you check and update us by today?
233,催收多轮对话场景,无,FAQ相似问,多轮,34,Maybe I'll pay next month.,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
234,催收多轮对话场景,无,FAQ相似问,多轮,34,Can I pay part of it?,That’s a good step. Can you confirm if you’ll pay within a few days?
235,催收多轮对话场景,无,FAQ相似问,多轮,35,Harry,"Hi Mr. Harry, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
236,催收多轮对话场景,无,FAQ相似问,多轮,35,I already paid it.,When exactly is your salary due? It will help us avoid escalation.
237,催收多轮对话场景,无,FAQ相似问,多轮,35,I don't think I owe anything.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
238,催收多轮对话场景,无,FAQ相似问,多轮,35,I already paid it.,When exactly is your salary due? It will help us avoid escalation.
239,催收多轮对话场景,无,FAQ相似问,多轮,35,I'm going to complain to OJK.,When exactly is your salary due? It will help us avoid escalation.
240,催收多轮对话场景,无,FAQ相似问,多轮,35,I don't think I owe anything.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
241,催收多轮对话场景,无,FAQ相似问,多轮,35,I don't have money now.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
242,催收多轮对话场景,无,FAQ相似问,多轮,36,Paul,"Hi Mr. Paul, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
243,催收多轮对话场景,无,FAQ相似问,多轮,36,I don't have money now.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
244,催收多轮对话场景,无,FAQ相似问,多轮,36,I don't have money now.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
245,催收多轮对话场景,无,FAQ相似问,多轮,36,I don't think I owe anything.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
246,催收多轮对话场景,无,FAQ相似问,多轮,36,I already paid it.,Waiting until next month is too long. Could you try resolving it this week?
247,催收多轮对话场景,无,FAQ相似问,多轮,37,Bob,"Hi Mr. Bob, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
248,催收多轮对话场景,无,FAQ相似问,多轮,37,Why is the amount so high?,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
249,催收多轮对话场景,无,FAQ相似问,多轮,37,I'm very stressed about this.,That’s a good step. Can you confirm if you’ll pay within a few days?
250,催收多轮对话场景,无,FAQ相似问,多轮,37,I don't have money now.,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
251,催收多轮对话场景,无,FAQ相似问,多轮,37,I don't think I owe anything.,Our records confirm the balance. Can you check and update us by today?
252,催收多轮对话场景,无,FAQ相似问,多轮,38,Dan,"Hi Mr. Dan, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
253,催收多轮对话场景,无,FAQ相似问,多轮,38,I'm waiting for my salary.,We’re required to follow up. Could you tell us your plan to settle this?
254,催收多轮对话场景,无,FAQ相似问,多轮,38,I don't think I owe anything.,When exactly is your salary due? It will help us avoid escalation.
255,催收多轮对话场景,无,FAQ相似问,多轮,38,I don't have money now.,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
256,催收多轮对话场景,无,FAQ相似问,多轮,38,Maybe I'll pay next month.,That’s a good step. Can you confirm if you’ll pay within a few days?
257,催收多轮对话场景,无,FAQ相似问,多轮,38,I'm waiting for my salary.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
258,催收多轮对话场景,无,FAQ相似问,多轮,39,Jack,"Hi Mr. Jack, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
259,催收多轮对话场景,无,FAQ相似问,多轮,39,Stop bothering me.,"We understand it’s stressful. Still, when can you complete the payment?"
260,催收多轮对话场景,无,FAQ相似问,多轮,39,I'm waiting for my salary.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
261,催收多轮对话场景,无,FAQ相似问,多轮,39,I'll try asking my family.,Our records confirm the balance. Can you check and update us by today?
262,催收多轮对话场景,无,FAQ相似问,多轮,39,I'm waiting for my salary.,When exactly is your salary due? It will help us avoid escalation.
263,催收多轮对话场景,无,FAQ相似问,多轮,40,Tim,"Hi Mr. Tim, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
264,催收多轮对话场景,无,FAQ相似问,多轮,40,Maybe I'll pay next month.,"We understand it’s stressful. Still, when can you complete the payment?"
265,催收多轮对话场景,无,FAQ相似问,多轮,40,I don't have money now.,Waiting until next month is too long. Could you try resolving it this week?
266,催收多轮对话场景,无,FAQ相似问,多轮,40,I don't have money now.,"We understand it’s stressful. Still, when can you complete the payment?"
267,催收多轮对话场景,无,FAQ相似问,多轮,40,I don't think I owe anything.,Waiting until next month is too long. Could you try resolving it this week?
268,催收多轮对话场景,无,FAQ相似问,多轮,40,I already paid it.,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
269,催收多轮对话场景,无,FAQ相似问,多轮,40,Can I pay part of it?,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
270,催收多轮对话场景,无,FAQ相似问,多轮,40,I don't have money now.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
271,催收多轮对话场景,无,FAQ相似问,多轮,40,I'm very stressed about this.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
272,催收多轮对话场景,无,FAQ相似问,多轮,41,Dan,"Hi Mr. Dan, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
273,催收多轮对话场景,无,FAQ相似问,多轮,41,I'm very stressed about this.,Waiting until next month is too long. Could you try resolving it this week?
274,催收多轮对话场景,无,FAQ相似问,多轮,41,Can I pay part of it?,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
275,催收多轮对话场景,无,FAQ相似问,多轮,41,I don't think I owe anything.,"We understand it’s stressful. Still, when can you complete the payment?"
276,催收多轮对话场景,无,FAQ相似问,多轮,41,I don't have money now.,Our records confirm the balance. Can you check and update us by today?
277,催收多轮对话场景,无,FAQ相似问,多轮,41,Can I pay part of it?,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
278,催收多轮对话场景,无,FAQ相似问,多轮,42,Bob,"Hi Mr. Bob, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
279,催收多轮对话场景,无,FAQ相似问,多轮,42,Maybe I'll pay next month.,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
280,催收多轮对话场景,无,FAQ相似问,多轮,42,I already paid it.,That’s a good step. Can you confirm if you’ll pay within a few days?
281,催收多轮对话场景,无,FAQ相似问,多轮,42,Maybe I'll pay next month.,We’re required to follow up. Could you tell us your plan to settle this?
282,催收多轮对话场景,无,FAQ相似问,多轮,42,Stop bothering me.,That’s a good step. Can you confirm if you’ll pay within a few days?
283,催收多轮对话场景,无,FAQ相似问,多轮,42,I don't have money now.,Waiting until next month is too long. Could you try resolving it this week?
284,催收多轮对话场景,无,FAQ相似问,多轮,43,Dave,"Hi Mr. Dave, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
285,催收多轮对话场景,无,FAQ相似问,多轮,43,I don't have money now.,"We understand it’s stressful. Still, when can you complete the payment?"
286,催收多轮对话场景,无,FAQ相似问,多轮,43,I don't think I owe anything.,"We understand it’s stressful. Still, when can you complete the payment?"
287,催收多轮对话场景,无,FAQ相似问,多轮,43,I'm waiting for my salary.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
288,催收多轮对话场景,无,FAQ相似问,多轮,43,I'm very stressed about this.,Our records confirm the balance. Can you check and update us by today?
289,催收多轮对话场景,无,FAQ相似问,多轮,43,I already paid it.,When exactly is your salary due? It will help us avoid escalation.
290,催收多轮对话场景,无,FAQ相似问,多轮,44,Sam,"Hi Mr. Sam, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
291,催收多轮对话场景,无,FAQ相似问,多轮,44,Maybe I'll pay next month.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
292,催收多轮对话场景,无,FAQ相似问,多轮,44,Why is the amount so high?,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
293,催收多轮对话场景,无,FAQ相似问,多轮,44,Stop bothering me.,We’re required to follow up. Could you tell us your plan to settle this?
294,催收多轮对话场景,无,FAQ相似问,多轮,44,I already paid it.,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
295,催收多轮对话场景,无,FAQ相似问,多轮,44,I already paid it.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
296,催收多轮对话场景,无,FAQ相似问,多轮,44,I don't have money now.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
297,催收多轮对话场景,无,FAQ相似问,多轮,44,I don't have money now.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
298,催收多轮对话场景,无,FAQ相似问,多轮,45,Jason,"Hi Mr. Jason, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
299,催收多轮对话场景,无,FAQ相似问,多轮,45,I don't have money now.,We’re required to follow up. Could you tell us your plan to settle this?
300,催收多轮对话场景,无,FAQ相似问,多轮,45,Why is the amount so high?,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
301,催收多轮对话场景,无,FAQ相似问,多轮,45,I'm waiting for my salary.,"We understand it’s stressful. Still, when can you complete the payment?"
302,催收多轮对话场景,无,FAQ相似问,多轮,45,Stop bothering me.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
303,催收多轮对话场景,无,FAQ相似问,多轮,45,I'm waiting for my salary.,Waiting until next month is too long. Could you try resolving it this week?
304,催收多轮对话场景,无,FAQ相似问,多轮,46,Chris,"Hi Mr. Chris, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
305,催收多轮对话场景,无,FAQ相似问,多轮,46,I'm going to complain to OJK.,That’s a good step. Can you confirm if you’ll pay within a few days?
306,催收多轮对话场景,无,FAQ相似问,多轮,46,I already paid it.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
307,催收多轮对话场景,无,FAQ相似问,多轮,46,I already paid it.,"We understand it’s stressful. Still, when can you complete the payment?"
308,催收多轮对话场景,无,FAQ相似问,多轮,46,Maybe I'll pay next month.,When exactly is your salary due? It will help us avoid escalation.
309,催收多轮对话场景,无,FAQ相似问,多轮,46,I don't think I owe anything.,Waiting until next month is too long. Could you try resolving it this week?
310,催收多轮对话场景,无,FAQ相似问,多轮,46,Why is the amount so high?,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
311,催收多轮对话场景,无,FAQ相似问,多轮,46,Can I pay part of it?,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
312,催收多轮对话场景,无,FAQ相似问,多轮,46,Stop bothering me.,That’s a good step. Can you confirm if you’ll pay within a few days?
313,催收多轮对话场景,无,FAQ相似问,多轮,47,Chris,"Hi Mr. Chris, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
314,催收多轮对话场景,无,FAQ相似问,多轮,47,I'm waiting for my salary.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
315,催收多轮对话场景,无,FAQ相似问,多轮,47,I'm going to complain to OJK.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
316,催收多轮对话场景,无,FAQ相似问,多轮,47,Why is the amount so high?,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
317,催收多轮对话场景,无,FAQ相似问,多轮,47,Maybe I'll pay next month.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
318,催收多轮对话场景,无,FAQ相似问,多轮,47,I'm waiting for my salary.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
319,催收多轮对话场景,无,FAQ相似问,多轮,48,Matt,"Hi Mr. Matt, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
320,催收多轮对话场景,无,FAQ相似问,多轮,48,I already paid it.,Our records confirm the balance. Can you check and update us by today?
321,催收多轮对话场景,无,FAQ相似问,多轮,48,I'll try asking my family.,That’s a good step. Can you confirm if you’ll pay within a few days?
322,催收多轮对话场景,无,FAQ相似问,多轮,48,I'll try asking my family.,When exactly is your salary due? It will help us avoid escalation.
323,催收多轮对话场景,无,FAQ相似问,多轮,48,I'll try asking my family.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
324,催收多轮对话场景,无,FAQ相似问,多轮,49,Matt,"Hi Mr. Matt, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
325,催收多轮对话场景,无,FAQ相似问,多轮,49,I already paid it.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
326,催收多轮对话场景,无,FAQ相似问,多轮,49,Can I pay part of it?,Waiting until next month is too long. Could you try resolving it this week?
327,催收多轮对话场景,无,FAQ相似问,多轮,49,I already paid it.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
328,催收多轮对话场景,无,FAQ相似问,多轮,49,I'm very stressed about this.,When exactly is your salary due? It will help us avoid escalation.
329,催收多轮对话场景,无,FAQ相似问,多轮,50,Paul,"Hi Mr. Paul, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
330,催收多轮对话场景,无,FAQ相似问,多轮,50,I'm very stressed about this.,Our records confirm the balance. Can you check and update us by today?
331,催收多轮对话场景,无,FAQ相似问,多轮,50,I'll try asking my family.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
332,催收多轮对话场景,无,FAQ相似问,多轮,50,I'll try asking my family.,We’re required to follow up. Could you tell us your plan to settle this?
333,催收多轮对话场景,无,FAQ相似问,多轮,50,I already paid it.,That’s a good step. Can you confirm if you’ll pay within a few days?
334,催收多轮对话场景,无,FAQ相似问,多轮,50,Maybe I'll pay next month.,That’s a good step. Can you confirm if you’ll pay within a few days?
335,催收多轮对话场景,无,FAQ相似问,多轮,51,Jim,"Hi Mr. Jim, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
336,催收多轮对话场景,无,FAQ相似问,多轮,51,Maybe I'll pay next month.,Waiting until next month is too long. Could you try resolving it this week?
337,催收多轮对话场景,无,FAQ相似问,多轮,51,I don't think I owe anything.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
338,催收多轮对话场景,无,FAQ相似问,多轮,51,I don't think I owe anything.,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
339,催收多轮对话场景,无,FAQ相似问,多轮,51,I already paid it.,"We understand it’s stressful. Still, when can you complete the payment?"
340,催收多轮对话场景,无,FAQ相似问,多轮,52,Tim,"Hi Mr. Tim, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
341,催收多轮对话场景,无,FAQ相似问,多轮,52,Why is the amount so high?,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
342,催收多轮对话场景,无,FAQ相似问,多轮,52,I'll try asking my family.,We’re required to follow up. Could you tell us your plan to settle this?
343,催收多轮对话场景,无,FAQ相似问,多轮,52,I'll try asking my family.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
344,催收多轮对话场景,无,FAQ相似问,多轮,52,I don't have money now.,We’re required to follow up. Could you tell us your plan to settle this?
345,催收多轮对话场景,无,FAQ相似问,多轮,52,I'm going to complain to OJK.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
346,催收多轮对话场景,无,FAQ相似问,多轮,52,I don't have money now.,"We understand it’s stressful. Still, when can you complete the payment?"
347,催收多轮对话场景,无,FAQ相似问,多轮,52,I'm going to complain to OJK.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
348,催收多轮对话场景,无,FAQ相似问,多轮,52,I'm going to complain to OJK.,That’s a good step. Can you confirm if you’ll pay within a few days?
349,催收多轮对话场景,无,FAQ相似问,多轮,53,Peter,"Hi Mr. Peter, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
350,催收多轮对话场景,无,FAQ相似问,多轮,53,I don't think I owe anything.,When exactly is your salary due? It will help us avoid escalation.
351,催收多轮对话场景,无,FAQ相似问,多轮,53,Why is the amount so high?,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
352,催收多轮对话场景,无,FAQ相似问,多轮,53,I'm going to complain to OJK.,That’s a good step. Can you confirm if you’ll pay within a few days?
353,催收多轮对话场景,无,FAQ相似问,多轮,53,Why is the amount so high?,Waiting until next month is too long. Could you try resolving it this week?
354,催收多轮对话场景,无,FAQ相似问,多轮,53,I'm waiting for my salary.,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
355,催收多轮对话场景,无,FAQ相似问,多轮,53,I already paid it.,When exactly is your salary due? It will help us avoid escalation.
356,催收多轮对话场景,无,FAQ相似问,多轮,53,I'll try asking my family.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
357,催收多轮对话场景,无,FAQ相似问,多轮,54,Bob,"Hi Mr. Bob, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
358,催收多轮对话场景,无,FAQ相似问,多轮,54,Maybe I'll pay next month.,That’s a good step. Can you confirm if you’ll pay within a few days?
359,催收多轮对话场景,无,FAQ相似问,多轮,54,I'll try asking my family.,"We understand it’s stressful. Still, when can you complete the payment?"
360,催收多轮对话场景,无,FAQ相似问,多轮,54,I don't think I owe anything.,That’s a good step. Can you confirm if you’ll pay within a few days?
361,催收多轮对话场景,无,FAQ相似问,多轮,54,I'll try asking my family.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
362,催收多轮对话场景,无,FAQ相似问,多轮,54,Why is the amount so high?,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
363,催收多轮对话场景,无,FAQ相似问,多轮,55,Paul,"Hi Mr. Paul, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
364,催收多轮对话场景,无,FAQ相似问,多轮,55,I already paid it.,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
365,催收多轮对话场景,无,FAQ相似问,多轮,55,I don't have money now.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
366,催收多轮对话场景,无,FAQ相似问,多轮,55,I'm going to complain to OJK.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
367,催收多轮对话场景,无,FAQ相似问,多轮,55,Why is the amount so high?,That’s a good step. Can you confirm if you’ll pay within a few days?
368,催收多轮对话场景,无,FAQ相似问,多轮,55,Stop bothering me.,Our records confirm the balance. Can you check and update us by today?
369,催收多轮对话场景,无,FAQ相似问,多轮,55,I'm waiting for my salary.,We’re required to follow up. Could you tell us your plan to settle this?
370,催收多轮对话场景,无,FAQ相似问,多轮,55,Maybe I'll pay next month.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
371,催收多轮对话场景,无,FAQ相似问,多轮,55,I'm waiting for my salary.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
372,催收多轮对话场景,无,FAQ相似问,多轮,56,Peter,"Hi Mr. Peter, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
373,催收多轮对话场景,无,FAQ相似问,多轮,56,I'll try asking my family.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
374,催收多轮对话场景,无,FAQ相似问,多轮,56,I don't have money now.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
375,催收多轮对话场景,无,FAQ相似问,多轮,56,Why is the amount so high?,"We understand it’s stressful. Still, when can you complete the payment?"
376,催收多轮对话场景,无,FAQ相似问,多轮,56,I'm waiting for my salary.,That’s a good step. Can you confirm if you’ll pay within a few days?
377,催收多轮对话场景,无,FAQ相似问,多轮,56,Can I pay part of it?,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
378,催收多轮对话场景,无,FAQ相似问,多轮,56,I don't have money now.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
379,催收多轮对话场景,无,FAQ相似问,多轮,57,Steve,"Hi Mr. Steve, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
380,催收多轮对话场景,无,FAQ相似问,多轮,57,I'm waiting for my salary.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
381,催收多轮对话场景,无,FAQ相似问,多轮,57,I'm very stressed about this.,Our records confirm the balance. Can you check and update us by today?
382,催收多轮对话场景,无,FAQ相似问,多轮,57,Can I pay part of it?,When exactly is your salary due? It will help us avoid escalation.
383,催收多轮对话场景,无,FAQ相似问,多轮,57,I'm going to complain to OJK.,Our records confirm the balance. Can you check and update us by today?
384,催收多轮对话场景,无,FAQ相似问,多轮,57,Why is the amount so high?,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
385,催收多轮对话场景,无,FAQ相似问,多轮,57,I already paid it.,That’s a good step. Can you confirm if you’ll pay within a few days?
386,催收多轮对话场景,无,FAQ相似问,多轮,57,Can I pay part of it?,That’s a good step. Can you confirm if you’ll pay within a few days?
387,催收多轮对话场景,无,FAQ相似问,多轮,57,I already paid it.,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
388,催收多轮对话场景,无,FAQ相似问,多轮,58,Matt,"Hi Mr. Matt, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
389,催收多轮对话场景,无,FAQ相似问,多轮,58,I'm waiting for my salary.,"That amount includes principal, interest, and late fees. Please confirm when you'll pay."
390,催收多轮对话场景,无,FAQ相似问,多轮,58,Why is the amount so high?,"Hi, we always follow OJK rules. You may complain if needed, but we still must resolve this."
391,催收多轮对话场景,无,FAQ相似问,多轮,58,Maybe I'll pay next month.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
392,催收多轮对话场景,无,FAQ相似问,多轮,58,I'm going to complain to OJK.,That’s a good step. Can you confirm if you’ll pay within a few days?
393,催收多轮对话场景,无,FAQ相似问,多轮,58,I'm going to complain to OJK.,Thank you for telling us. Please provide proof of payment so we can stop the reminders.
394,催收多轮对话场景,无,FAQ相似问,多轮,58,I don't have money now.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
395,催收多轮对话场景,无,FAQ相似问,多轮,58,I don't think I owe anything.,Waiting until next month is too long. Could you try resolving it this week?
396,催收多轮对话场景,无,FAQ相似问,多轮,59,Brian,"Hi Mr. Brian, this is Jack from DynaCash. Your loan is overdue. To avoid fees or credit impact, please pay soon. When can we expect your payment?"
397,催收多轮对话场景,无,FAQ相似问,多轮,59,I already paid it.,"Currently, a minimum repayment of 30% is required within 24 hours. Can you do that?"
398,催收多轮对话场景,无,FAQ相似问,多轮,59,Stop bothering me.,"I understand your concern, but delaying will lead to fees. When can you arrange payment?"
399,催收多轮对话场景,无,FAQ相似问,多轮,59,I don't think I owe anything.,Waiting until next month is too long. Could you try resolving it this week?
