#,Pregunta,Fuente de Respuesta,Fuente de Pregunta,Satisfactorio,Número de Serie,Contenido de Pregunta,Respuesta de Referencia
75,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,38,¿Qué llantas necesita mi Volkswagen Jetta 2020?,"Para su Volkswagen Jetta 2020, la especificación más común es 205/55R16. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
76,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,38,"Sí, confirmo que es 205/55R16","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C50212 | 205 55 16 COMPASAL BLAZER HP 94H | 4 | $1567 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 205/55R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1567 - $1567\\n\\n¿Cuál modelo le interesa?""}"
77,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,39,¿Qué llantas necesita mi Nissan Sentra 2019?,"Para su Nissan Sentra 2019, la especificación más común es 185/65R15. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
78,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,39,"Sí, confirmo que es 185/65R15","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
79,Consulta vehículo,Recomendación con confirmación,Cliente,Satisfactorio,40,¿Qué llantas necesita mi Hyundai Accent 2021?,"Para su Hyundai Accent 2021, la especificación más común es 185/65R15. Para confirmar y mostrarle opciones disponibles, ¿podría verificar los tres parámetros en el lateral de su llanta actual?"
80,Confirmación parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,40,"Sí, confirmo que es 185/65R15","{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
81,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,41,¿Hacen entregas a domicilio?,"Sí, ofrecemos servicio de entrega a domicilio: gratis en CDMX y Estado de México. Otras zonas por paquetería con costo al cliente. Si son más de 100 llantas fuera de la ciudad, el envío es gratuito."
82,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,42,¿Cuánto cobran por envío?,En CDMX y Estado de México la entrega es gratuita. Para otras zonas el costo varía según la paquetería. ¿A qué ciudad necesita el envío?
83,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,43,¿Envían a Guadalajara?,"Sí, enviamos a Guadalajara por paquetería. El costo es por cuenta del cliente, excepto si compra más de 100 llantas que sería envío gratuito."
84,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,44,¿Puedo recoger en tienda?,"Por supuesto, puede recoger en nuestra tienda en Calz de las Armas 591, CDMX. Horarios: lunes a viernes 9:00-18:00, sábados 9:00-15:00."
85,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,45,¿Dónde están ubicados?,"Estamos en Calz de las Armas 591, Azcapotzalco, CDMX. Horarios: lunes a viernes 9:00-18:00, sábados 9:00-15:00."
86,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,46,¿Puedo ir a comprar directamente?,¡Por supuesto! Puede venir directamente a nuestra tienda. Tendremos ofertas adicionales disponibles en compra presencial.
87,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,47,¿Qué horarios manejan?,Atendemos lunes a viernes de 9:00 a 18:00 horas y sábados de 9:00 a 15:00 horas. Descansamos domingos.
88,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,48,¿Tienen estacionamiento?,"Sí, contamos con área de estacionamiento para la comodidad de nuestros clientes."
89,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,49,¿Instalan ahí mismo?,"Sí, instalamos en el momento. El servicio incluye desmontaje, montaje, balanceo y válvula nueva. Toma aproximadamente 30 minutos."
90,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,50,¿Necesito cita para la instalación?,"Es recomendable hacer cita previa para garantizar disponibilidad inmediata, aunque también atendemos sin cita según disponibilidad."
91,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,51,¿Envían al interior del país?,"Sí, enviamos a todo México por paquetería. Costo por cuenta del cliente, excepto compras mayores a 100 unidades."
92,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,52,¿Cuánto tarda la entrega?,En CDMX y Estado de México: mismo día o siguiente día. Interior del país: 2-5 días hábiles según destino.
93,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,53,¿Cómo programo la entrega?,Puede programar su entrega llamando al momento de la compra. Coordinamos horarios convenientes para usted.
94,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,54,¿Entregan en fin de semana?,Entregas en CDMX disponibles sábados por la mañana. Domingos no laboramos.
95,Consulta entrega/tienda,Información logística,Cliente,Satisfactorio,55,¿Hay costo por instalación a domicilio?,Instalación a domicilio tiene costo adicional de $150 por traslado del equipo y técnico.
96,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,56,¿Tienen disponible 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
97,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,57,¿Qué opciones tienen en 215/60R16?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C60213 | 215 60 16 COMPASAL BLAZER HP 95H | 3 | $1678 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 215/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1678 - $1678\\n\\n¿Cuál modelo le interesa?""}"
98,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,58,Busco neumáticos 165/70R13,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C10216 | 165 70 13 COMPASAL BLAZER HP 79H | 4 | $856 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 165/70R13\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $856 - $856\\n\\n¿Cuál modelo le interesa?""}"
99,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,59,Me interesan las 175/70R14,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C20215 | 175 70 14 COMPASAL BLAZER HP 84H | 6 | $967 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 175/70R14\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $967 - $967\\n\\n¿Cuál modelo le interesa?""}"
100,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,60,Precio de 165/70R13,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C10216 | 165 70 13 COMPASAL BLAZER HP 79H | 4 | $856 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 165/70R13\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $856 - $856\\n\\n¿Cuál modelo le interesa?""}"
101,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,61,Busco neumáticos 165/70R13,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C10216 | 165 70 13 COMPASAL BLAZER HP 79H | 4 | $856 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 165/70R13\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $856 - $856\\n\\n¿Cuál modelo le interesa?""}"
102,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,62,Busco neumáticos 185/65R15,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
103,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,63,Busco neumáticos 185/65R15,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
104,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,64,Quiero cotizar 175/70R14,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C20215 | 175 70 14 COMPASAL BLAZER HP 84H | 6 | $967 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 175/70R14\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $967 - $967\\n\\n¿Cuál modelo le interesa?""}"
105,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,65,¿Qué opciones tienen en 215/60R16?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C60213 | 215 60 16 COMPASAL BLAZER HP 95H | 3 | $1678 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 215/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1678 - $1678\\n\\n¿Cuál modelo le interesa?""}"
106,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,66,¿Qué opciones tienen en 195/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C40211 | 195 65 15 COMPASAL BLAZER HP 91H | 5 | $1245 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 195/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1245 - $1245\\n\\n¿Cuál modelo le interesa?""}"
107,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,67,Necesito llantas 195/65R15,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C40211 | 195 65 15 COMPASAL BLAZER HP 91H | 5 | $1245 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 195/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1245 - $1245\\n\\n¿Cuál modelo le interesa?""}"
108,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,68,Quiero cotizar 175/70R14,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C20215 | 175 70 14 COMPASAL BLAZER HP 84H | 6 | $967 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 175/70R14\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $967 - $967\\n\\n¿Cuál modelo le interesa?""}"
109,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,69,Quiero cotizar 175/70R14,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C20215 | 175 70 14 COMPASAL BLAZER HP 84H | 6 | $967 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 175/70R14\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $967 - $967\\n\\n¿Cuál modelo le interesa?""}"
110,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,70,¿Qué opciones tienen en 175/70R14?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C20215 | 175 70 14 COMPASAL BLAZER HP 84H | 6 | $967 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 175/70R14\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $967 - $967\\n\\n¿Cuál modelo le interesa?""}"
111,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,71,Busco neumáticos 175/70R14,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C20215 | 175 70 14 COMPASAL BLAZER HP 84H | 6 | $967 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 175/70R14\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $967 - $967\\n\\n¿Cuál modelo le interesa?""}"
112,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,72,Quiero cotizar 175/70R14,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C20215 | 175 70 14 COMPASAL BLAZER HP 84H | 6 | $967 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 175/70R14\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $967 - $967\\n\\n¿Cuál modelo le interesa?""}"
113,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,73,¿Qué opciones tienen en 165/70R13?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C10216 | 165 70 13 COMPASAL BLAZER HP 79H | 4 | $856 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 165/70R13\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $856 - $856\\n\\n¿Cuál modelo le interesa?""}"
114,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,74,Busco neumáticos 215/60R16,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C60213 | 215 60 16 COMPASAL BLAZER HP 95H | 3 | $1678 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 215/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1678 - $1678\\n\\n¿Cuál modelo le interesa?""}"
115,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,75,Busco neumáticos 165/70R13,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C10216 | 165 70 13 COMPASAL BLAZER HP 79H | 4 | $856 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 165/70R13\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $856 - $856\\n\\n¿Cuál modelo le interesa?""}"
116,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,76,Precio de 195/65R15,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C40211 | 195 65 15 COMPASAL BLAZER HP 91H | 5 | $1245 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 195/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1245 - $1245\\n\\n¿Cuál modelo le interesa?""}"
117,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,77,Necesito llantas 225/60R16,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C70214 | 225 60 16 COMPASAL BLAZER HP 98H | 2 | $1856 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 225/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1856 - $1856\\n\\n¿Cuál modelo le interesa?""}"
118,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,78,¿Tienen disponible 225/60R16?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C70214 | 225 60 16 COMPASAL BLAZER HP 98H | 2 | $1856 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 225/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1856 - $1856\\n\\n¿Cuál modelo le interesa?""}"
119,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,79,Me interesan las 215/60R16,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C60213 | 215 60 16 COMPASAL BLAZER HP 95H | 3 | $1678 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 215/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1678 - $1678\\n\\n¿Cuál modelo le interesa?""}"
120,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,80,¿Qué opciones tienen en 165/70R13?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C10216 | 165 70 13 COMPASAL BLAZER HP 79H | 4 | $856 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 165/70R13\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $856 - $856\\n\\n¿Cuál modelo le interesa?""}"
121,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,81,Busco neumáticos 185/65R15,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 185/65R15\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1142 - $1142\\n\\n¿Cuál modelo le interesa?""}"
122,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,82,¿Qué opciones tienen en 175/70R14?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C20215 | 175 70 14 COMPASAL BLAZER HP 84H | 6 | $967 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 175/70R14\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $967 - $967\\n\\n¿Cuál modelo le interesa?""}"
123,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,83,Me interesan las 165/70R13,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C10216 | 165 70 13 COMPASAL BLAZER HP 79H | 4 | $856 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 165/70R13\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $856 - $856\\n\\n¿Cuál modelo le interesa?""}"
124,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,84,Necesito llantas 165/70R13,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C10216 | 165 70 13 COMPASAL BLAZER HP 79H | 4 | $856 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 165/70R13\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $856 - $856\\n\\n¿Cuál modelo le interesa?""}"
125,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,85,Busco neumáticos 165/70R13,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C10216 | 165 70 13 COMPASAL BLAZER HP 79H | 4 | $856 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 165/70R13\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $856 - $856\\n\\n¿Cuál modelo le interesa?""}"
126,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,86,Busco llantas R16,"Para encontrar las mejores opciones en R16, necesito que me proporcione el ancho y el perfil. Por ejemplo: 185/65R16. ¿Podría darme la especificación completa?"
127,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,87,Necesito llantas aro 70,"Para neumáticos aro 70, necesito el ancho y perfil completos. ¿Podría proporcionarme los tres parámetros: ancho, perfil y diámetro del aro?"
128,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,88,Necesito llantas aro 70,"Para neumáticos aro 70, necesito el ancho y perfil completos. ¿Podría proporcionarme los tres parámetros: ancho, perfil y diámetro del aro?"
129,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,89,Busco llantas 185,"Veo que necesita neumáticos de 185mm de ancho. Para completar la búsqueda, necesito el perfil y diámetro del aro. ¿Podría proporcionarme la especificación completa?"
130,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,90,Necesito llantas aro 55,"Para neumáticos aro 55, necesito el ancho y perfil completos. ¿Podría proporcionarme los tres parámetros: ancho, perfil y diámetro del aro?"
131,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,91,Busco llantas 195,"Veo que necesita neumáticos de 195mm de ancho. Para completar la búsqueda, necesito el perfil y diámetro del aro. ¿Podría proporcionarme la especificación completa?"
132,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,92,Necesito llantas aro 55,"Para neumáticos aro 55, necesito el ancho y perfil completos. ¿Podría proporcionarme los tres parámetros: ancho, perfil y diámetro del aro?"
133,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,93,Necesito llantas aro 65,"Para neumáticos aro 65, necesito el ancho y perfil completos. ¿Podría proporcionarme los tres parámetros: ancho, perfil y diámetro del aro?"
134,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,94,Necesito llantas aro 70,"Para neumáticos aro 70, necesito el ancho y perfil completos. ¿Podría proporcionarme los tres parámetros: ancho, perfil y diámetro del aro?"
135,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,95,Busco llantas 205,"Veo que necesita neumáticos de 205mm de ancho. Para completar la búsqueda, necesito el perfil y diámetro del aro. ¿Podría proporcionarme la especificación completa?"
136,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,96,Necesito llantas aro 65,"Para neumáticos aro 65, necesito el ancho y perfil completos. ¿Podría proporcionarme los tres parámetros: ancho, perfil y diámetro del aro?"
137,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,97,Busco llantas 185,"Veo que necesita neumáticos de 185mm de ancho. Para completar la búsqueda, necesito el perfil y diámetro del aro. ¿Podría proporcionarme la especificación completa?"
138,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,98,Busco llantas R16,"Para encontrar las mejores opciones en R16, necesito que me proporcione el ancho y el perfil. Por ejemplo: 185/65R16. ¿Podría darme la especificación completa?"
139,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,99,Busco llantas 205,"Veo que necesita neumáticos de 205mm de ancho. Para completar la búsqueda, necesito el perfil y diámetro del aro. ¿Podría proporcionarme la especificación completa?"
140,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,100,Busco llantas 185,"Veo que necesita neumáticos de 185mm de ancho. Para completar la búsqueda, necesito el perfil y diámetro del aro. ¿Podría proporcionarme la especificación completa?"
141,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,101,Necesito llantas aro 55,"Para neumáticos aro 55, necesito el ancho y perfil completos. ¿Podría proporcionarme los tres parámetros: ancho, perfil y diámetro del aro?"
142,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,102,Busco llantas R13,"Para encontrar las mejores opciones en R13, necesito que me proporcione el ancho y el perfil. Por ejemplo: 185/65R13. ¿Podría darme la especificación completa?"
143,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,103,Busco llantas R14,"Para encontrar las mejores opciones en R14, necesito que me proporcione el ancho y el perfil. Por ejemplo: 185/65R14. ¿Podría darme la especificación completa?"
144,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,104,Necesito llantas aro 70,"Para neumáticos aro 70, necesito el ancho y perfil completos. ¿Podría proporcionarme los tres parámetros: ancho, perfil y diámetro del aro?"
145,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,105,Busco llantas R16,"Para encontrar las mejores opciones en R16, necesito que me proporcione el ancho y el perfil. Por ejemplo: 185/65R16. ¿Podría darme la especificación completa?"
146,Consulta marca,Guía al cliente,Cliente,Satisfactorio,106,Busco llantas GOODYEAR,"Tenemos excelentes opciones de GOODYEAR. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
147,Consulta marca,Guía al cliente,Cliente,Satisfactorio,107,¿Qué opciones tienen de JK TYRE?,"Tenemos excelentes opciones de JK TYRE. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
148,Consulta marca,Guía al cliente,Cliente,Satisfactorio,108,Busco llantas BLACKHAWK,"Tenemos excelentes opciones de BLACKHAWK. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
149,Consulta marca,Guía al cliente,Cliente,Satisfactorio,109,¿Qué opciones tienen de SAFERICH?,"Tenemos excelentes opciones de SAFERICH. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
