#,Pregunta,Fuente de Respuesta,Fuente de Pregunta,Satisfactorio,Número de Serie,Contenido de Pregunta,Respuesta de Referencia
1,Consulta de especificaciones de neumáticos - Parámetros completos disponibles,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,1,Necesito llantas 185/65R15 para mi auto,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\n|:------------|:--------------------|:------|:-------|\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\n| LL-C29885 | 185 65 R15 92H XL BLACKHAWK HH11 AUTO | 1 | $1156 |\n| CCCC2342 | 185/65 R15 88H ANSU OPTECO A1 | 1 | $1192 |\n| C79647 | 185 65 R15 SAFERICH FRC16 88H | 1 | $1294 |\n| C000231 | 185 65 R15 GOODYEAR ASSURANCE 88T | 1 | $1906 |\n| CCCC1836 | 185 65 R15 JK TYRE VECTRA 92T | 6 | $2030 |\n"", ""desc"": ""🌟 ¡Hola! Me complace atenderle. Soy su asistente de ventas de **Llantasyservicios.mx** (también conocido como **Grupo Magno**), su aliado en neumáticos y servicios automotrices en Ciudad de México.\n\n🔍 Búsqueda completada para neumáticos de Auto - Medida: 185/65R15\n\n📊 Información de su búsqueda:\n✅ Neumáticos encontrados: 6\n👁️ Resultados mostrados: 6\n🚗 Tipo: Auto\n📏 Especificación: 185/65R15\n\n💰 Rango de precios: $1142 - $2030\n\n🏆 Sus opciones de neumáticos:\n1. 185 65 15 COMPASAL BLAZER HP 88H - $1142 (Disponible: 8)\n2. 185 65 R15 92H XL BLACKHAWK HH11 AUTO - $1156 (Disponible: 1)\n3. 185/65 R15 88H ANSU OPTECO A1 - $1192 (Disponible: 1)\n4. 185 65 R15 SAFERICH FRC16 88H - $1294 (Disponible: 1)\n5. 185 65 R15 GOODYEAR ASSURANCE 88T - $1906 (Disponible: 1)\n6. 185 65 R15 JK TYRE VECTRA 92T - $2030 (Disponible: 6)\n\n💡 Información importante: Nuestro precio incluye instalación, válvula nueva y servicio de balanceo.\n\n🤝 En Grupo Magno nos preocupamos por su seguridad y satisfacción. ¿Puedo ayudarle con algo más?""}"
29,Consulta de stock,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,29,¿Tienen disponible 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\n|:------------|:--------------------|:------|:-------|\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\n| LL-C29885 | 185 65 R15 92H XL BLACKHAWK HH11 AUTO | 1 | $1156 |\n| CCCC2342 | 185/65 R15 88H ANSU OPTECO A1 | 1 | $1192 |\n| C79647 | 185 65 R15 SAFERICH FRC16 88H | 1 | $1294 |\n| C000231 | 185 65 R15 GOODYEAR ASSURANCE 88T | 1 | $1906 |\n| CCCC1836 | 185 65 R15 JK TYRE VECTRA 92T | 6 | $2030 |\n"", ""desc"": ""🔍 Resultados de Búsqueda de Neumáticos - Neumático de Auto (185/65R15)\n\n📊 Estadísticas de Búsqueda:\n✅ Neumáticos encontrados: 6\n👁️ Cantidad mostrada: 6\n🚗 Tipo de neumático: Auto\n📏 Especificación de búsqueda: 185/65R15\n\n💰 Rango de precios: $1142 - $2030\n\n🏆 Neumáticos recomendados:\n1. 185 65 15 COMPASAL BLAZER HP 88H - $1142\n2. 185 65 R15 92H XL BLACKHAWK HH11 AUTO - $1156\n3. 185/65 R15 88H ANSU OPTECO A1 - $1192\n4. 185 65 R15 SAFERICH FRC16 88H - $1294\n5. 185 65 R15 GOODYEAR ASSURANCE 88T - $1906\n6. 185 65 R15 JK TYRE VECTRA 92T - $2030\n\n¿Cuál modelo le interesa?""}"
30,Consulta de stock,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,30,¿Tienen disponible 185/65R15?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\n|:------------|:--------------------|:------|:-------|\n| LL-C30210 | 185 65 15 COMPASAL BLAZER HP 88H | 8 | $1142 |\n| LL-C29885 | 185 65 R15 92H XL BLACKHAWK HH11 AUTO | 1 | $1156 |\n| CCCC2342 | 185/65 R15 88H ANSU OPTECO A1 | 1 | $1192 |\n| C79647 | 185 65 R15 SAFERICH FRC16 88H | 1 | $1294 |\n| C000231 | 185 65 R15 GOODYEAR ASSURANCE 88T | 1 | $1906 |\n| CCCC1836 | 185 65 R15 JK TYRE VECTRA 92T | 6 | $2030 |\n"", ""desc"": ""🔍 Resultados de Búsqueda de Neumáticos - Neumático de Auto (185/65R15)\n\n📊 Estadísticas de Búsqueda:\n✅ Neumáticos encontrados: 6\n👁️ Cantidad mostrada: 6\n🚗 Tipo de neumático: Auto\n📏 Especificación de búsqueda: 185/65R15\n\n💰 Rango de precios: $1142 - $2030\n\n🏆 Neumáticos recomendados:\n1. 185 65 15 COMPASAL BLAZER HP 88H - $1142\n2. 185 65 R15 92H XL BLACKHAWK HH11 AUTO - $1156\n3. 185/65 R15 88H ANSU OPTECO A1 - $1192\n4. 185 65 R15 SAFERICH FRC16 88H - $1294\n5. 185 65 R15 GOODYEAR ASSURANCE 88T - $1906\n6. 185 65 R15 JK TYRE VECTRA 92T - $2030\n\n¿Cuál modelo le interesa?""}"
31,Consulta de precio,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,31,¿Cuánto cuestan las llantas para 185/65R15?,"¡Hola! Las llantas 185/65R15 varían según el modelo: COMPASAL BLAZER HP ($1142), BLACKHAWK HH11 AUTO ($1156), ANSU OPTECO A1 ($1192). ¿Qué tipo de conducción realiza principalmente?"
32,Consulta de precio,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,32,¿Cuánto cuestan las llantas para 185/65R15?,"¡Hola! Las llantas 185/65R15 varían según el modelo: COMPASAL BLAZER HP ($1142), BLACKHAWK HH11 AUTO ($1156), ANSU OPTECO A1 ($1192). ¿Qué tipo de conducción realiza principalmente?"
33,Consulta de precio,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,33,¿Cuánto cuestan las llantas para 185/65R15?,"¡Hola! Las llantas 185/65R15 varían según el modelo: COMPASAL BLAZER HP ($1142), BLACKHAWK HH11 AUTO ($1156), ANSU OPTECO A1 ($1192). ¿Qué tipo de conducción realiza principalmente?"
34,Consulta de precio,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,34,¿Cuánto cuestan las llantas para 185/65R15?,"¡Hola! Las llantas 185/65R15 varían según el modelo: COMPASAL BLAZER HP ($1142), BLACKHAWK HH11 AUTO ($1156), ANSU OPTECO A1 ($1192). ¿Qué tipo de conducción realiza principalmente?"
35,Consulta de precio,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,35,¿Cuánto cuestan las llantas para 185/65R15?,"¡Hola! Las llantas 185/65R15 varían según el modelo: COMPASAL BLAZER HP ($1142), BLACKHAWK HH11 AUTO ($1156), ANSU OPTECO A1 ($1192). ¿Qué tipo de conducción realiza principalmente?"
36,Consulta de precio,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,36,¿Cuánto cuestan las llantas para 185/65R15?,"¡Hola! Las llantas 185/65R15 varían según el modelo: COMPASAL BLAZER HP ($1142), BLACKHAWK HH11 AUTO ($1156), ANSU OPTECO A1 ($1192). ¿Qué tipo de conducción realiza principalmente?"
37,Consulta de precio,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,37,¿Cuánto cuestan las llantas para 185/65R15?,"¡Hola! Las llantas 185/65R15 varían según el modelo: COMPASAL BLAZER HP ($1142), BLACKHAWK HH11 AUTO ($1156), ANSU OPTECO A1 ($1192). ¿Qué tipo de conducción realiza principalmente?"
38,Consulta de precio,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,38,¿Cuánto cuestan las llantas para 185/65R15?,"¡Hola! Las llantas 185/65R15 varían según el modelo: COMPASAL BLAZER HP ($1142), BLACKHAWK HH11 AUTO ($1156), ANSU OPTECO A1 ($1192). ¿Qué tipo de conducción realiza principalmente?"
39,Consulta de precio,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,39,¿Cuánto cuestan las llantas para 185/65R15?,"¡Hola! Las llantas 185/65R15 varían según el modelo: COMPASAL BLAZER HP ($1142), BLACKHAWK HH11 AUTO ($1156), ANSU OPTECO A1 ($1192). ¿Qué tipo de conducción realiza principalmente?"
40,Consulta de precio,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,40,¿Cuánto cuestan las llantas para 185/65R15?,"¡Hola! Las llantas 185/65R15 varían según el modelo: COMPASAL BLAZER HP ($1142), BLACKHAWK HH11 AUTO ($1156), ANSU OPTECO A1 ($1192). ¿Qué tipo de conducción realiza principalmente?"
41,Consulta de precio,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,41,¿Cuánto cuestan las llantas para 185/65R15?,"¡Hola! Las llantas 185/65R15 varían según el modelo: COMPASAL BLAZER HP ($1142), BLACKHAWK HH11 AUTO ($1156), ANSU OPTECO A1 ($1192). ¿Qué tipo de conducción realiza principalmente?"
42,Consulta de precio,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,42,¿Cuánto cuestan las llantas para 185/65R15?,"¡Hola! Las llantas 185/65R15 varían según el modelo: COMPASAL BLAZER HP ($1142), BLACKHAWK HH11 AUTO ($1156), ANSU OPTECO A1 ($1192). ¿Qué tipo de conducción realiza principalmente?"
43,Consulta de precio,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,43,¿Cuánto cuestan las llantas para 185/65R15?,"¡Hola! Las llantas 185/65R15 varían según el modelo: COMPASAL BLAZER HP ($1142), BLACKHAWK HH11 AUTO ($1156), ANSU OPTECO A1 ($1192). ¿Qué tipo de conducción realiza principalmente?"
44,Consulta de precio,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,44,¿Cuánto cuestan las llantas para 185/65R15?,"¡Hola! Las llantas 185/65R15 varían según el modelo: COMPASAL BLAZER HP ($1142), BLACKHAWK HH11 AUTO ($1156), ANSU OPTECO A1 ($1192). ¿Qué tipo de conducción realiza principalmente?"
45,Consulta de precio,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,45,¿Cuánto cuestan las llantas para 185/65R15?,"¡Hola! Las llantas 185/65R15 varían según el modelo: COMPASAL BLAZER HP ($1142), BLACKHAWK HH11 AUTO ($1156), ANSU OPTECO A1 ($1192). ¿Qué tipo de conducción realiza principalmente?"
46,Consulta de precio,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,46,¿Cuánto cuestan las llantas para 185/65R15?,"¡Hola! Las llantas 185/65R15 varían según el modelo: COMPASAL BLAZER HP ($1142), BLACKHAWK HH11 AUTO ($1156), ANSU OPTECO A1 ($1192). ¿Qué tipo de conducción realiza principalmente?"
47,Consulta de precio,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,47,¿Cuánto cuestan las llantas para 185/65R15?,"¡Hola! Las llantas 185/65R15 varían según el modelo: COMPASAL BLAZER HP ($1142), BLACKHAWK HH11 AUTO ($1156), ANSU OPTECO A1 ($1192). ¿Qué tipo de conducción realiza principalmente?"
48,Consulta de precio,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,48,¿Cuánto cuestan las llantas para 185/65R15?,"¡Hola! Las llantas 185/65R15 varían según el modelo: COMPASAL BLAZER HP ($1142), BLACKHAWK HH11 AUTO ($1156), ANSU OPTECO A1 ($1192). ¿Qué tipo de conducción realiza principalmente?"
49,Consulta de precio,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,49,¿Cuánto cuestan las llantas para 185/65R15?,"¡Hola! Las llantas 185/65R15 varían según el modelo: COMPASAL BLAZER HP ($1142), BLACKHAWK HH11 AUTO ($1156), ANSU OPTECO A1 ($1192). ¿Qué tipo de conducción realiza principalmente?"
50,Consulta de precio,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,50,¿Cuánto cuestan las llantas para 185/65R15?,"¡Hola! Las llantas 185/65R15 varían según el modelo: COMPASAL BLAZER HP ($1142), BLACKHAWK HH11 AUTO ($1156), ANSU OPTECO A1 ($1192). ¿Qué tipo de conducción realiza principalmente?"
51,Servicio de instalación,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,51,¿Hacen instalación a domicilio?,"¡Hola! Sí, ofrecemos servicio de instalación a domicilio dentro de la ciudad. El costo es $50 adicional por el traslado del equipo. ¿En qué zona se encuentra?"
52,Servicio de instalación,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,52,¿Hacen instalación a domicilio?,"¡Hola! Sí, ofrecemos servicio de instalación a domicilio dentro de la ciudad. El costo es $50 adicional por el traslado del equipo. ¿En qué zona se encuentra?"
53,Servicio de instalación,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,53,¿Hacen instalación a domicilio?,"¡Hola! Sí, ofrecemos servicio de instalación a domicilio dentro de la ciudad. El costo es $50 adicional por el traslado del equipo. ¿En qué zona se encuentra?"
54,Servicio de instalación,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,54,¿Hacen instalación a domicilio?,"¡Hola! Sí, ofrecemos servicio de instalación a domicilio dentro de la ciudad. El costo es $50 adicional por el traslado del equipo. ¿En qué zona se encuentra?"
55,Servicio de instalación,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,55,¿Hacen instalación a domicilio?,"¡Hola! Sí, ofrecemos servicio de instalación a domicilio dentro de la ciudad. El costo es $50 adicional por el traslado del equipo. ¿En qué zona se encuentra?"
56,Servicio de instalación,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,56,¿Hacen instalación a domicilio?,"¡Hola! Sí, ofrecemos servicio de instalación a domicilio dentro de la ciudad. El costo es $50 adicional por el traslado del equipo. ¿En qué zona se encuentra?"
57,Servicio de instalación,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,57,¿Hacen instalación a domicilio?,"¡Hola! Sí, ofrecemos servicio de instalación a domicilio dentro de la ciudad. El costo es $50 adicional por el traslado del equipo. ¿En qué zona se encuentra?"
58,Servicio de instalación,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,58,¿Hacen instalación a domicilio?,"¡Hola! Sí, ofrecemos servicio de instalación a domicilio dentro de la ciudad. El costo es $50 adicional por el traslado del equipo. ¿En qué zona se encuentra?"
59,Servicio de instalación,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,59,¿Hacen instalación a domicilio?,"¡Hola! Sí, ofrecemos servicio de instalación a domicilio dentro de la ciudad. El costo es $50 adicional por el traslado del equipo. ¿En qué zona se encuentra?"
60,Servicio de instalación,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,60,¿Hacen instalación a domicilio?,"¡Hola! Sí, ofrecemos servicio de instalación a domicilio dentro de la ciudad. El costo es $50 adicional por el traslado del equipo. ¿En qué zona se encuentra?"
61,Servicio de instalación,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,61,¿Hacen instalación a domicilio?,"¡Hola! Sí, ofrecemos servicio de instalación a domicilio dentro de la ciudad. El costo es $50 adicional por el traslado del equipo. ¿En qué zona se encuentra?"
62,Servicio de instalación,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,62,¿Hacen instalación a domicilio?,"¡Hola! Sí, ofrecemos servicio de instalación a domicilio dentro de la ciudad. El costo es $50 adicional por el traslado del equipo. ¿En qué zona se encuentra?"
63,Servicio de instalación,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,63,¿Hacen instalación a domicilio?,"¡Hola! Sí, ofrecemos servicio de instalación a domicilio dentro de la ciudad. El costo es $50 adicional por el traslado del equipo. ¿En qué zona se encuentra?"
64,Servicio de instalación,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,64,¿Hacen instalación a domicilio?,"¡Hola! Sí, ofrecemos servicio de instalación a domicilio dentro de la ciudad. El costo es $50 adicional por el traslado del equipo. ¿En qué zona se encuentra?"
65,Servicio de instalación,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,65,¿Hacen instalación a domicilio?,"¡Hola! Sí, ofrecemos servicio de instalación a domicilio dentro de la ciudad. El costo es $50 adicional por el traslado del equipo. ¿En qué zona se encuentra?"
66,Servicio de instalación,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,66,¿Hacen instalación a domicilio?,"¡Hola! Sí, ofrecemos servicio de instalación a domicilio dentro de la ciudad. El costo es $50 adicional por el traslado del equipo. ¿En qué zona se encuentra?"
67,Servicio de instalación,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,67,¿Hacen instalación a domicilio?,"¡Hola! Sí, ofrecemos servicio de instalación a domicilio dentro de la ciudad. El costo es $50 adicional por el traslado del equipo. ¿En qué zona se encuentra?"
68,Servicio de instalación,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,68,¿Hacen instalación a domicilio?,"¡Hola! Sí, ofrecemos servicio de instalación a domicilio dentro de la ciudad. El costo es $50 adicional por el traslado del equipo. ¿En qué zona se encuentra?"
69,Servicio de instalación,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,69,¿Hacen instalación a domicilio?,"¡Hola! Sí, ofrecemos servicio de instalación a domicilio dentro de la ciudad. El costo es $50 adicional por el traslado del equipo. ¿En qué zona se encuentra?"
70,Servicio de instalación,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,70,¿Hacen instalación a domicilio?,"¡Hola! Sí, ofrecemos servicio de instalación a domicilio dentro de la ciudad. El costo es $50 adicional por el traslado del equipo. ¿En qué zona se encuentra?"
71,Problema técnico,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,71,Mi llanta se está desinflando lentamente. ¿Qué puede ser?,"¡Hola! Una fuga lenta puede ser causada por: pinchazo pequeño, válvula defectuosa, problema en el aro, o fisura en la llanta. ¿Hace cuánto tiempo notó el problema?"
72,Problema técnico,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,72,Mi llanta se está desinflando lentamente. ¿Qué puede ser?,"¡Hola! Una fuga lenta puede ser causada por: pinchazo pequeño, válvula defectuosa, problema en el aro, o fisura en la llanta. ¿Hace cuánto tiempo notó el problema?"
73,Problema técnico,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,73,Mi llanta se está desinflando lentamente. ¿Qué puede ser?,"¡Hola! Una fuga lenta puede ser causada por: pinchazo pequeño, válvula defectuosa, problema en el aro, o fisura en la llanta. ¿Hace cuánto tiempo notó el problema?"
74,Problema técnico,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,74,Mi llanta se está desinflando lentamente. ¿Qué puede ser?,"¡Hola! Una fuga lenta puede ser causada por: pinchazo pequeño, válvula defectuosa, problema en el aro, o fisura en la llanta. ¿Hace cuánto tiempo notó el problema?"
75,Problema técnico,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,75,Mi llanta se está desinflando lentamente. ¿Qué puede ser?,"¡Hola! Una fuga lenta puede ser causada por: pinchazo pequeño, válvula defectuosa, problema en el aro, o fisura en la llanta. ¿Hace cuánto tiempo notó el problema?"
76,Problema técnico,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,76,Mi llanta se está desinflando lentamente. ¿Qué puede ser?,"¡Hola! Una fuga lenta puede ser causada por: pinchazo pequeño, válvula defectuosa, problema en el aro, o fisura en la llanta. ¿Hace cuánto tiempo notó el problema?"
77,Problema técnico,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,77,Mi llanta se está desinflando lentamente. ¿Qué puede ser?,"¡Hola! Una fuga lenta puede ser causada por: pinchazo pequeño, válvula defectuosa, problema en el aro, o fisura en la llanta. ¿Hace cuánto tiempo notó el problema?"
78,Problema técnico,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,78,Mi llanta se está desinflando lentamente. ¿Qué puede ser?,"¡Hola! Una fuga lenta puede ser causada por: pinchazo pequeño, válvula defectuosa, problema en el aro, o fisura en la llanta. ¿Hace cuánto tiempo notó el problema?"
79,Problema técnico,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,79,Mi llanta se está desinflando lentamente. ¿Qué puede ser?,"¡Hola! Una fuga lenta puede ser causada por: pinchazo pequeño, válvula defectuosa, problema en el aro, o fisura en la llanta. ¿Hace cuánto tiempo notó el problema?"
80,Problema técnico,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,80,Mi llanta se está desinflando lentamente. ¿Qué puede ser?,"¡Hola! Una fuga lenta puede ser causada por: pinchazo pequeño, válvula defectuosa, problema en el aro, o fisura en la llanta. ¿Hace cuánto tiempo notó el problema?"
81,Problema técnico,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,81,Mi llanta se está desinflando lentamente. ¿Qué puede ser?,"¡Hola! Una fuga lenta puede ser causada por: pinchazo pequeño, válvula defectuosa, problema en el aro, o fisura en la llanta. ¿Hace cuánto tiempo notó el problema?"
82,Problema técnico,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,82,Mi llanta se está desinflando lentamente. ¿Qué puede ser?,"¡Hola! Una fuga lenta puede ser causada por: pinchazo pequeño, válvula defectuosa, problema en el aro, o fisura en la llanta. ¿Hace cuánto tiempo notó el problema?"
83,Problema técnico,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,83,Mi llanta se está desinflando lentamente. ¿Qué puede ser?,"¡Hola! Una fuga lenta puede ser causada por: pinchazo pequeño, válvula defectuosa, problema en el aro, o fisura en la llanta. ¿Hace cuánto tiempo notó el problema?"
84,Problema técnico,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,84,Mi llanta se está desinflando lentamente. ¿Qué puede ser?,"¡Hola! Una fuga lenta puede ser causada por: pinchazo pequeño, válvula defectuosa, problema en el aro, o fisura en la llanta. ¿Hace cuánto tiempo notó el problema?"
85,Problema técnico,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,85,Mi llanta se está desinflando lentamente. ¿Qué puede ser?,"¡Hola! Una fuga lenta puede ser causada por: pinchazo pequeño, válvula defectuosa, problema en el aro, o fisura en la llanta. ¿Hace cuánto tiempo notó el problema?"
86,Problema técnico,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,86,Mi llanta se está desinflando lentamente. ¿Qué puede ser?,"¡Hola! Una fuga lenta puede ser causada por: pinchazo pequeño, válvula defectuosa, problema en el aro, o fisura en la llanta. ¿Hace cuánto tiempo notó el problema?"
87,Problema técnico,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,87,Mi llanta se está desinflando lentamente. ¿Qué puede ser?,"¡Hola! Una fuga lenta puede ser causada por: pinchazo pequeño, válvula defectuosa, problema en el aro, o fisura en la llanta. ¿Hace cuánto tiempo notó el problema?"
88,Problema técnico,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,88,Mi llanta se está desinflando lentamente. ¿Qué puede ser?,"¡Hola! Una fuga lenta puede ser causada por: pinchazo pequeño, válvula defectuosa, problema en el aro, o fisura en la llanta. ¿Hace cuánto tiempo notó el problema?"
89,Problema técnico,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,89,Mi llanta se está desinflando lentamente. ¿Qué puede ser?,"¡Hola! Una fuga lenta puede ser causada por: pinchazo pequeño, válvula defectuosa, problema en el aro, o fisura en la llanta. ¿Hace cuánto tiempo notó el problema?"
90,Problema técnico,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,90,Mi llanta se está desinflando lentamente. ¿Qué puede ser?,"¡Hola! Una fuga lenta puede ser causada por: pinchazo pequeño, válvula defectuosa, problema en el aro, o fisura en la llanta. ¿Hace cuánto tiempo notó el problema?"
91,Consulta de medida incorrecta,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,91,Necesito llantas medida 100/25R15 para mi auto,"🌟 ¡Hola! Me complace atenderle. Soy su asistente de ventas de Llantasyservicios.mx (también conocido como Grupo Magno), su aliado en neumáticos y servicios automotrices en Ciudad de México. Parece que la medida 100/25R15 no es una especificación común para autos. ¿Podría verificar la medida correcta en el lateral de su llanta actual?"
92,Consulta de medida incorrecta,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,92,Necesito llantas medida 100/25R15 para mi auto,"🌟 ¡Hola! Me complace atenderle. Soy su asistente de ventas de Llantasyservicios.mx (también conocido como Grupo Magno), su aliado en neumáticos y servicios automotrices en Ciudad de México. Parece que la medida 100/25R15 no es una especificación común para autos. ¿Podría verificar la medida correcta en el lateral de su llanta actual?"
93,Consulta de medida incorrecta,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,93,Necesito llantas medida 100/25R15 para mi auto,"🌟 ¡Hola! Me complace atenderle. Soy su asistente de ventas de Llantasyservicios.mx (también conocido como Grupo Magno), su aliado en neumáticos y servicios automotrices en Ciudad de México. Parece que la medida 100/25R15 no es una especificación común para autos. ¿Podría verificar la medida correcta en el lateral de su llanta actual?"
94,Consulta de medida incorrecta,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,94,Necesito llantas medida 100/25R15 para mi auto,"🌟 ¡Hola! Me complace atenderle. Soy su asistente de ventas de Llantasyservicios.mx (también conocido como Grupo Magno), su aliado en neumáticos y servicios automotrices en Ciudad de México. Parece que la medida 100/25R15 no es una especificación común para autos. ¿Podría verificar la medida correcta en el lateral de su llanta actual?"
95,Consulta de medida incorrecta,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,95,Necesito llantas medida 100/25R15 para mi auto,"🌟 ¡Hola! Me complace atenderle. Soy su asistente de ventas de Llantasyservicios.mx (también conocido como Grupo Magno), su aliado en neumáticos y servicios automotrices en Ciudad de México. Parece que la medida 100/25R15 no es una especificación común para autos. ¿Podría verificar la medida correcta en el lateral de su llanta actual?"
96,Consulta de medida incorrecta,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,96,Necesito llantas medida 100/25R15 para mi auto,"🌟 ¡Hola! Me complace atenderle. Soy su asistente de ventas de Llantasyservicios.mx (también conocido como Grupo Magno), su aliado en neumáticos y servicios automotrices en Ciudad de México. Parece que la medida 100/25R15 no es una especificación común para autos. ¿Podría verificar la medida correcta en el lateral de su llanta actual?"
97,Consulta de medida incorrecta,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,97,Necesito llantas medida 100/25R15 para mi auto,"🌟 ¡Hola! Me complace atenderle. Soy su asistente de ventas de Llantasyservicios.mx (también conocido como Grupo Magno), su aliado en neumáticos y servicios automotrices en Ciudad de México. Parece que la medida 100/25R15 no es una especificación común para autos. ¿Podría verificar la medida correcta en el lateral de su llanta actual?"
98,Consulta de medida incorrecta,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,98,Necesito llantas medida 100/25R15 para mi auto,"🌟 ¡Hola! Me complace atenderle. Soy su asistente de ventas de Llantasyservicios.mx (también conocido como Grupo Magno), su aliado en neumáticos y servicios automotrices en Ciudad de México. Parece que la medida 100/25R15 no es una especificación común para autos. ¿Podría verificar la medida correcta en el lateral de su llanta actual?"
99,Consulta de medida incorrecta,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,99,Necesito llantas medida 100/25R15 para mi auto,"🌟 ¡Hola! Me complace atenderle. Soy su asistente de ventas de Llantasyservicios.mx (también conocido como Grupo Magno), su aliado en neumáticos y servicios automotrices en Ciudad de México. Parece que la medida 100/25R15 no es una especificación común para autos. ¿Podría verificar la medida correcta en el lateral de su llanta actual?"
100,Consulta de medida incorrecta,Respuesta estándar FAQ,Fuente FAQ,Satisfactorio,100,Necesito llantas medida 100/25R15 para mi auto,"🌟 ¡Hola! Me complace atenderle. Soy su asistente de ventas de Llantasyservicios.mx (también conocido como Grupo Magno), su aliado en neumáticos y servicios automotrices en Ciudad de México. Parece que la medida 100/25R15 no es una especificación común para autos. ¿Podría verificar la medida correcta en el lateral de su llanta actual?"
