#,Pregunta,Fuente de Respuesta,Fuente de Pregunta,Satisfactorio,Número de Serie,Contenido de Pregunta,Respuesta de Referencia
73,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,48,Necesito llantas 165/70R13,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C10216 | 165 70 13 COMPASAL BLAZER HP 79H | 4 | $856 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 165/70R13\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $856 - $856\\n\\n¿Cuál modelo le interesa?""}"
74,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,49,¿Cuánto cuestan las 215/60R16?,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C60213 | 215 60 16 COMPASAL BLAZER HP 95H | 3 | $1678 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 215/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1678 - $1678\\n\\n¿Cuál modelo le interesa?""}"
75,Consulta tres parámetros,Plugin búsqueda neumáticos,Cliente,Satisfactorio,50,Precio de 215/60R16,"{""type"": ""markdown"", ""data"": ""| ID Producto | Nombre del Producto | Stock | Precio |\\n|:------------|:--------------------|:------|:-------|\\n| LL-C60213 | 215 60 16 COMPASAL BLAZER HP 95H | 3 | $1678 |\\n"", ""desc"": ""🔍 Resultados de búsqueda para neumáticos 215/60R16\\n\\n📊 Encontrados: 1 productos\\n💰 Rango de precios: $1678 - $1678\\n\\n¿Cuál modelo le interesa?""}"
76,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,51,Busco llantas 205,"Veo que necesita neumáticos de 205mm de ancho. Para completar la búsqueda, necesito el perfil y diámetro del aro. ¿Podría proporcionarme la especificación completa?"
77,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,52,Busco llantas R16,"Para encontrar las mejores opciones en R16, necesito que me proporcione el ancho y el perfil. Por ejemplo: 185/65R16. ¿Podría darme la especificación completa?"
78,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,53,Busco llantas 195,"Veo que necesita neumáticos de 195mm de ancho. Para completar la búsqueda, necesito el perfil y diámetro del aro. ¿Podría proporcionarme la especificación completa?"
79,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,54,Busco llantas 185,"Veo que necesita neumáticos de 185mm de ancho. Para completar la búsqueda, necesito el perfil y diámetro del aro. ¿Podría proporcionarme la especificación completa?"
80,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,55,Busco llantas R15,"Para encontrar las mejores opciones en R15, necesito que me proporcione el ancho y el perfil. Por ejemplo: 185/65R15. ¿Podría darme la especificación completa?"
81,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,56,Necesito llantas aro 55,"Para neumáticos aro 55, necesito el ancho y perfil completos. ¿Podría proporcionarme los tres parámetros: ancho, perfil y diámetro del aro?"
82,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,57,Busco llantas 205,"Veo que necesita neumáticos de 205mm de ancho. Para completar la búsqueda, necesito el perfil y diámetro del aro. ¿Podría proporcionarme la especificación completa?"
83,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,58,Necesito llantas aro 55,"Para neumáticos aro 55, necesito el ancho y perfil completos. ¿Podría proporcionarme los tres parámetros: ancho, perfil y diámetro del aro?"
84,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,59,Necesito llantas aro 55,"Para neumáticos aro 55, necesito el ancho y perfil completos. ¿Podría proporcionarme los tres parámetros: ancho, perfil y diámetro del aro?"
85,Consulta parámetros incompletos,Guía al cliente,Cliente,Satisfactorio,60,Busco llantas 205,"Veo que necesita neumáticos de 205mm de ancho. Para completar la búsqueda, necesito el perfil y diámetro del aro. ¿Podría proporcionarme la especificación completa?"
86,Consulta marca,Guía al cliente,Cliente,Satisfactorio,61,¿Qué opciones tienen de BLACKHAWK?,"Tenemos excelentes opciones de BLACKHAWK. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
87,Consulta marca,Guía al cliente,Cliente,Satisfactorio,62,Me interesan las COMPASAL,"Tenemos excelentes opciones de COMPASAL. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
88,Consulta marca,Guía al cliente,Cliente,Satisfactorio,63,¿Tienen neumáticos JK TYRE?,"Tenemos excelentes opciones de JK TYRE. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
89,Consulta marca,Guía al cliente,Cliente,Satisfactorio,64,¿Tienen neumáticos SAFERICH?,"Tenemos excelentes opciones de SAFERICH. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
90,Consulta marca,Guía al cliente,Cliente,Satisfactorio,65,Me interesan las SAFERICH,"Tenemos excelentes opciones de SAFERICH. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
91,Consulta marca,Guía al cliente,Cliente,Satisfactorio,66,Me interesan las SAFERICH,"Tenemos excelentes opciones de SAFERICH. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
92,Consulta marca,Guía al cliente,Cliente,Satisfactorio,67,Me interesan las SAFERICH,"Tenemos excelentes opciones de SAFERICH. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
93,Consulta marca,Guía al cliente,Cliente,Satisfactorio,68,¿Qué opciones tienen de JK TYRE?,"Tenemos excelentes opciones de JK TYRE. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
94,Consulta marca,Guía al cliente,Cliente,Satisfactorio,69,¿Tienen neumáticos ANSU OPTECO?,"Tenemos excelentes opciones de ANSU OPTECO. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
95,Consulta marca,Guía al cliente,Cliente,Satisfactorio,70,Busco llantas BLACKHAWK,"Tenemos excelentes opciones de BLACKHAWK. Para mostrarle los modelos disponibles y precios exactos, necesito que me proporcione los tres parámetros de su llanta: ancho, perfil y diámetro del aro. ¿Podría verificar esta información?"
96,Consulta servicios,Información general,Cliente,Satisfactorio,71,¿Hacen instalación?,"Sí, incluimos instalación profesional, válvula nueva y balanceo."
97,Consulta servicios,Información general,Cliente,Satisfactorio,72,¿Aceptan tarjetas?,"Sí, todas las tarjetas excepto American Express. Meses sin intereses disponibles."
98,Consulta servicios,Información general,Cliente,Satisfactorio,73,¿Dan garantía?,12 meses contra defectos de fábrica. Desgaste normal no incluido.
99,Consulta servicios,Información general,Cliente,Satisfactorio,74,¿Reparan llantas?,"Sí, reparación $150 pesos. Si hay daño lateral no se puede reparar."
100,Consulta servicios,Información general,Cliente,Satisfactorio,75,¿Tienen descuentos?,Ofertas adicionales disponibles en compra presencial en tienda.
101,Consulta servicios,Información general,Cliente,Satisfactorio,76,¿Cuánto tarda la instalación?,Aproximadamente 30 minutos por vehículo con cita previa.
102,Consulta servicios,Información general,Cliente,Satisfactorio,77,¿Puedo apartar una llanta?,"Sí, con el 50% de anticipo. Disponible por 15 días."
103,Consulta servicios,Información general,Cliente,Satisfactorio,78,¿Cómo pago a meses?,3 meses sin intereses con tarjetas participantes.
104,Consulta servicios,Información general,Cliente,Satisfactorio,79,¿Qué incluye el precio?,Llanta + instalación + válvula + balanceo + inflado con nitrógeno.
105,Consulta servicios,Información general,Cliente,Satisfactorio,80,¿Atienden sábados?,"Sí, sábados de 9:00 a 15:00 horas."
106,Consulta servicios,Información general,Cliente,Satisfactorio,81,¿Dan factura?,"Sí, facturación disponible con RFC. Se envía por correo."
107,Consulta servicios,Información general,Cliente,Satisfactorio,82,¿Hay técnicos certificados?,"Sí, todo nuestro personal está capacitado y certificado."
108,Consulta servicios,Información general,Cliente,Satisfactorio,83,¿Revisan la llanta usada?,"Sí, revisamos y damos diagnóstico gratuito del estado."
109,Consulta servicios,Información general,Cliente,Satisfactorio,84,¿Balancean con pesas?,Usamos pesas de clip y adhesivas según tipo de rin.
110,Consulta servicios,Información general,Cliente,Satisfactorio,85,¿Calibran la presión?,"Sí, verificamos y ajustamos presión según especificaciones."
111,Consulta servicios,Información general,Cliente,Satisfactorio,86,¿Rotan las llantas?,"Sí, servicio de rotación disponible. Recomendado cada 10,000 km."
112,Consulta servicios,Información general,Cliente,Satisfactorio,87,¿Tienen promociones?,Promociones especiales en tienda. Consulte al llegar.
113,Consulta servicios,Información general,Cliente,Satisfactorio,88,¿Trabajan domingos?,"No, descansamos domingos. Lunes a sábado únicamente."
114,Consulta servicios,Información general,Cliente,Satisfactorio,89,¿Aceptan American Express?,"No, aceptamos todas las tarjetas excepto American Express."
115,Consulta servicios,Información general,Cliente,Satisfactorio,90,¿Cuánto dura la garantía?,12 meses contra defectos de fabricación. No cubre desgaste normal.
116,Consulta servicios,Información general,Cliente,Satisfactorio,91,¿Qué marcas manejan?,"Manejamos COMPASAL, BLACKHAWK, ANSU OPTECO, SAFERICH, GOODYEAR, JK TYRE y más."
